,term,coursename,coursesection,Instructor,courseid,book_needed,book_name,book_author,book_edition,book_pubtime,book_ISBN
0,Term: Winter 18 | ,Name: GEL        101             | ,Section: ALL               | ,"Instructor: OSKIN, M | ",Course ID:                 | ,Required                 ,STRUCTURAL GEOLOGY                     ,Author: TWISS         ,Edition: 2ND 07 ,Published Date: 2007,ISBN: 9780716749516
1,Term: Winter 18 | ,Name: GEL        105             | ,Section: ALL               | ,"Instructor: LESHER, C | ",Course ID:                 | ,Required                 ,PRIN.OF IGNEOUS+METAMORPHIC PETROLOGY  ,Author: WINTER        ,Edition: 2ND 10 ,Published Date: 2010,ISBN: 9780321592576
2,Term: Winter 18 | ,Name: GEL        146             | ,Section: ALL               | ,"Instructor: YIN, Q | ",Course ID:                 | ,Optional                 ,ISOTOPE GEOCHEMISTRY                   ,Author: WHITE         ,Edition: 15     ,Published Date: 2015,ISBN: 9780470656709
3,Term: Winter 18 | ,Name: GEL        163             | ,Section: ALL               | ,Instructor: STEWART-MUKHOPADHYAY | ,Course ID:                 | ,Required                 ,INTRO.TO SOLAR SYSTEM                  ,Author: ROTHERY       ,Edition: REV 11 ,Published Date: 2011,ISBN: 9781107600928
4,Term: Winter 18 | ,Name: GEL        183             | ,Section: ALL               | ,"Instructor: PINTER, S | ",Course ID:                 | ,Required                 ,EVERY MINUTE COUNTS                    ,Author: JOHNSON       ,Edition: 82     ,Published Date: 1982,ISBN: 9780866510813
5,Term: Winter 18 | ,Name: GEL        183             | ,Section: ALL               | ,"Instructor: PINTER, S | ",Course ID:                 | ,Required                 ,TEACH LIKE A CHAMPION 2.0-W/DVD        ,Author: LEMOV         ,Edition: 15     ,Published Date: 2015,ISBN: 9781118901854
