,term,coursename,coursesection,Instructor,courseid,book_needed,book_name,book_author,book_edition,book_pubtime,book_ISBN
0,Term: Winter 18 | ,Name: EDU        081             | ,Section: 001               | ,"Instructor: Mendle, Alvin | ",Course ID: 51841           | ,Required                 ,LEARNING FROM CASES                    ,Author: TIPPINS       ,Edition: 02     ,Published Date: 2002,ISBN: 9780205305889
1,Term: Winter 18 | ,Name: EDU        110             | ,Section: 001               | ,"Instructor: Martin, Lee | ",Course ID: 51890           | ,Required                 ,THE ABCS OF HOW WE LEARN               ,Author: DANIEL L. SCHW,Edition: ,Published Date: NA,ISBN: 9780393709261
2,Term: Winter 18 | ,Name: EDU        120             | ,Section: ALL               | ,"Instructor: GEE, K | ",Course ID:                 | ,Required                 ,SCHOOL+SOCIETY                         ,Author: FEINBERG      ,Edition: 5TH 09 ,Published Date: 2009,ISBN: 9780807749852
