,term,coursename,coursesection,Instructor,courseid,book_needed,book_name,book_author,book_edition,book_pubtime,book_ISBN
0,Term: Winter 18 | ,Name: EMS        162             | ,Section: 001               | ,"Instructor: Kukreja, Roopali | ",Course ID: 52744           | ,Required                 ,FUNDAMENTALS OF POWER DIFFRACTION+.... ,Author: PECHARSKY     ,Edition: 2ND 09 ,Published Date: 2009,ISBN: 9780387095783
1,Term: Winter 18 | ,Name: EMS        162L            | ,Section: ALL               | ,"Instructor: KIM, S | ",Course ID:                 | ,Required                 ,FUNDAMENTALS OF POWER DIFFRACTION+.... ,Author: PECHARSKY     ,Edition: 2ND 09 ,Published Date: 2009,ISBN: 9780387095783
2,Term: Winter 18 | ,Name: EMS        164             | ,Section: ALL               | ,"Instructor: GENTRY, S | ",Course ID:                 | ,Required                 ,MATERIALS KINETICS FUNDAMENTALS        ,Author: OHAYRE        ,Edition: 15     ,Published Date: 2015,ISBN: 9781118972892
