,term,coursename,coursesection,Instructor,courseid,book_needed,book_name,book_author,book_edition,book_pubtime,book_ISBN
0,Term: Winter 18 | ,Name: EDU        201             | ,Section: 001               | ,"Instructor: Enright, Kerry | ",Course ID: 51980           | ,Required                 ,QUALITATIVE RESEARCH:GUIDE TO DESIGN+..,Author: MERRIAM       ,Edition: 4TH 16 ,Published Date: 2016,ISBN: 9781119003618
1,Term: Winter 18 | ,Name: EDU        205B            | ,Section: 001               | ,"Instructor: Watson-Gegeo, Karen | ",Course ID: 51982           | ,Required                 ,GIRL TIME                              ,Author: WINN          ,Edition: 11     ,Published Date: 2011,ISBN: 9780807752005
2,Term: Winter 18 | ,Name: EDU        205B            | ,Section: 001               | ,"Instructor: Watson-Gegeo, Karen | ",Course ID: 51982           | ,Required                 ,QUALITATIVE ANAL.F/SOCIAL SCIENTISTS   ,Author: STRAUSS       ,Edition: 87     ,Published Date: 1987,ISBN: 9780521338066
3,Term: Winter 18 | ,Name: EDU        205B            | ,Section: 001               | ,"Instructor: Watson-Gegeo, Karen | ",Course ID: 51982           | ,Required                 ,RED PEDAGOGY-10TH ANNIVERSARY ED.      ,Author: GRANDE        ,Edition: 15     ,Published Date: 2015,ISBN: 9781610489898
4,Term: Winter 18 | ,Name: EDU        205B            | ,Section: 001               | ,"Instructor: Watson-Gegeo, Karen | ",Course ID: 51982           | ,Required                 ,SPIRIT CATCHES YOU+YOU FALL DOWN       ,Author: FADIMAN       ,Edition: 97     ,Published Date: 1997,ISBN: 9780374525644
5,Term: Winter 18 | ,Name: EDU        205B            | ,Section: 001               | ,"Instructor: Watson-Gegeo, Karen | ",Course ID: 51982           | ,Required                 ,WOMEN WITHOUT CLASS                    ,Author: BETTIE        ,Edition: 03     ,Published Date: 2003,ISBN: 9780520235427
6,Term: Winter 18 | ,Name: EDU        206A            | ,Section: 001               | ,"Instructor: Sullivan, Lisa | ",Course ID: 51983           | ,Required                 ,ACTION RESEARCH-TEXT                   ,Author: MILLS         ,Edition: 6TH 18 ,Published Date: 2018,ISBN: 9780134523033
