,term,coursename,coursesection,Instructor,courseid,book_needed,book_name,book_author,book_edition,book_pubtime,book_ISBN
0,Term: Winter 18 | ,Name: FRS        004             | ,Section: 003               | ,"Instructor: Williams, Nathaniel | ",Course ID: 55723           | ,Optional                 ,"LEAGUE OF EXTRAORDINARY GENTLEMEN,V.1  ",Author: MOORE         ,Edition: (REV)00,Published Date: 2000,ISBN: 9781563898587
1,Term: Winter 18 | ,Name: FRS        004             | ,Section: 003               | ,"Instructor: Williams, Nathaniel | ",Course ID: 55723           | ,Optional                 ,STEAMPUNK                              ,Author: VANDERMEER    ,Edition: 08     ,Published Date: 2008,ISBN: 9781892391759
2,Term: Winter 18 | ,Name: FRS        004             | ,Section: 006               | ,"Instructor: Wyman, Julie | ",Course ID: 55726           | ,Required                 ,STUDYING DISABILITY ARTS+CULTURE       ,Author: KUPPERS       ,Edition: 14     ,Published Date: 2014,ISBN: 9781137413468
3,Term: Winter 18 | ,Name: FRS        004             | ,Section: 013               | ,"Instructor: Waltonen, Karma | ",Course ID: 55733           | ,Required                 ,COMEDY BIBLE                           ,Author: CARTER        ,Edition: 01     ,Published Date: 2001,ISBN: 9780743201254
4,Term: Winter 18 | ,Name: FRS        004             | ,Section: 014               | ,"Instructor: Uchida, Miyo | ",Course ID: 55734           | ,Required                 ,JAPANESE MIND                          ,Author: DAVIES        ,Edition: 02     ,Published Date: 2002,ISBN: 9780804832953
5,Term: Winter 18 | ,Name: FRS        004             | ,Section: 017               | ,"Instructor: Bright, Alison | ",Course ID: 55737           | ,Required                 ,IN DEFENSE OF FOOD                     ,Author: POLLAN        ,Edition: 08     ,Published Date: 2008,ISBN: 9780143114963
6,Term: Winter 18 | ,Name: FRS        004             | ,Section: 030               | ,"Instructor: Sewell, William | ",Course ID: 55750           | ,Required                 ,BRAIN ON FIRE                          ,Author: CAHALAN       ,Edition: 13     ,Published Date: 2013,ISBN: 9781451621389
7,Term: Winter 18 | ,Name: FST        003V            | ,Section: ALL               | ,"Instructor: BAMFORTH, C | ",Course ID:                 | ,Required                 ,BEER:TAP INTO ART+SCIENCE OF BREWING   ,Author: BAMFORTH      ,Edition: 3RD 09 ,Published Date: 2009,ISBN: 9780195305425
8,Term: Winter 18 | ,Name: FST        010             | ,Section: 001               | ,"Instructor: Lungu, Bwalya | ",Course ID: 55768           | ,Required                 ,ON FOOD+COOKING                        ,Author: MCGEE         ,Edition: REV 04 ,Published Date: 2004,ISBN: 9780684800011
