,term,coursename,coursesection,Instructor,courseid,book_needed,book_name,book_author,book_edition,book_pubtime,book_ISBN
0,Term: Winter 18 | ,Name: FRE        210             | ,Section: 001               | ,"Instructor: Simon, Julia | ",Course ID: 74381           | ,Required                 ,L'EDUCATION SENTIMENTALE               ,Author: FLAUBERT      ,Edition: 2013   ,Published Date: 2013,ISBN: 9782081309425
1,Term: Winter 18 | ,Name: FRE        210             | ,Section: 001               | ,"Instructor: Simon, Julia | ",Course ID: 74381           | ,Required                 ,MADAME BOVARY                          ,Author: FLAUBERT      ,Edition: ,Published Date: NA,ISBN: 9782081337237
2,Term: Winter 18 | ,Name: FRE        210             | ,Section: 001               | ,"Instructor: Simon, Julia | ",Course ID: 74381           | ,Required                 ,TROIS CONTES                           ,Author: FLAUBERT      ,Edition: 03     ,Published Date: 2003,ISBN: 9782070304103
