,term,coursename,coursesection,Instructor,courseid,book_needed,book_name,book_author,book_edition,book_pubtime,book_ISBN
0,Term: Winter 18 | ,Name: EMS        230             | ,Section: 001               | ,"Instructor: Van Benthem, Klaus | ",Course ID: 52804           | ,Required                 ,TRANSMISSION ELECTRON MICROSCOPY       ,Author: WILLIAMS      ,Edition: 1ST    ,Published Date: NA,ISBN: 9783319266497
1,Term: Winter 18 | ,Name: EMS        272             | ,Section: 001               | ,"Instructor: Takamura, Yayoi | ",Course ID: 52807           | ,Required                 ,ELECTRONIC PROPERTIES OF MATERIALS     ,Author: HUMMEL        ,Edition: 4      ,Published Date: NA,ISBN: 9781489998415
2,Term: Winter 18 | ,Name: EMS        272             | ,Section: 001               | ,"Instructor: Takamura, Yayoi | ",Course ID: 52807           | ,Required                 ,EMS 172/272 READER                     ,Author: TAKAMURA      ,Edition: 3RD W12,Published Date: 2012,ISBN: 2810050050393
3,Term: Winter 18 | ,Name: EMS        274             | ,Section: 001               | ,"Instructor: Gibeling, Jeffery | ",Course ID: 52808           | ,Required                 ,MECHANICAL BEHAVIOR OF MATERIALS       ,Author: MEYERS        ,Edition: 2ND 09 ,Published Date: 2009,ISBN: 9780521866750
4,Term: Winter 18 | ,Name: EMS        288             | ,Section: 001               | ,"Instructor: Parikh, Atul | ",Course ID: 74816           | ,Optional                 ,PHYSICAL BIOLOGY OF THE CELL           ,Author: PHILLIPS      ,Edition: 2ND 13 ,Published Date: 2013,ISBN: 9780815344506
