,term,coursename,coursesection,Instructor,courseid,book_needed,book_name,book_author,book_edition,book_pubtime,book_ISBN
0,Term: Winter 18 | ,Name: FRE        021             | ,Section: ALL               | ,"Instructor: SIMON, J | ",Course ID:                 | ,Required                 ,RESEAU 2ND EDITION PACKAGE             ,Author: SCHULTZ       ,Edition: ,Published Date: NA,ISBN: 9781269995108
1,Term: Winter 18 | ,Name: FRE        022             | ,Section: ALL               | ,"Instructor: SIMON, J | ",Course ID:                 | ,Required                 ,RESEAU 2ND EDITION PACKAGE             ,Author: SCHULTZ       ,Edition: ,Published Date: NA,ISBN: 9781269995108
2,Term: Winter 18 | ,Name: FRE        023             | ,Section: 001               | ,"Instructor: Simon, Julia | ",Course ID: 55473           | ,Required                 ,ANTIGONE                               ,Author: ANOUILH       ,Edition: 08     ,Published Date: 2008,ISBN: 9782710330400
3,Term: Winter 18 | ,Name: FRE        023             | ,Section: 001               | ,"Instructor: Simon, Julia | ",Course ID: 55473           | ,Required                 ,RESEAU 2ND EDITION PACKAGE             ,Author: SCHULTZ       ,Edition: ,Published Date: NA,ISBN: 9781269995108
4,Term: Winter 18 | ,Name: FRE        117B            | ,Section: 001               | ,"Instructor: Guynn, Noah | ",Course ID: 74380           | ,Required                 ,LA CRITIQUE DE L'ECOLE DES FEMMES      ,Author: MOLIERE       ,Edition: ,Published Date: NA,ISBN: 9782035939005
5,Term: Winter 18 | ,Name: FRE        117B            | ,Section: 001               | ,"Instructor: Guynn, Noah | ",Course ID: 74380           | ,Required                 ,LE MALADE IMAGINAIRE                   ,Author: MOLIERE       ,Edition: 07     ,Published Date: 2007,ISBN: 9782035834201
6,Term: Winter 18 | ,Name: FRE        117B            | ,Section: 001               | ,"Instructor: Guynn, Noah | ",Course ID: 74380           | ,Required                 ,LE TARTUFFE                            ,Author: MOLIERE       ,Edition: 06     ,Published Date: 2006,ISBN: 9782035859174
7,Term: Winter 18 | ,Name: FRE        117B            | ,Section: 001               | ,"Instructor: Guynn, Noah | ",Course ID: 74380           | ,Required                 ,L'ECOLE DES FEMMES                     ,Author: MOLIERE       ,Edition: 07     ,Published Date: 2007,ISBN: 9782035834171
8,Term: Winter 18 | ,Name: FRE        117B            | ,Section: 001               | ,"Instructor: Guynn, Noah | ",Course ID: 74380           | ,Required                 ,LES FEMMES SAVANTES                    ,Author: MOLIERE       ,Edition: 07     ,Published Date: 2007,ISBN: 9782035834188
9,Term: Winter 18 | ,Name: FRE        117B            | ,Section: 001               | ,"Instructor: Guynn, Noah | ",Course ID: 74380           | ,Required                 ,LES FOURBERIES DE SCAPIN(FRENCH ED)    ,Author: MOLIERE       ,Edition: 07     ,Published Date: 2007,ISBN: 9782035834195
10,Term: Winter 18 | ,Name: FRE        117B            | ,Section: 001               | ,"Instructor: Guynn, Noah | ",Course ID: 74380           | ,Required                 ,LES PRECIEUSES RIDICULES               ,Author: MOLIERE       ,Edition: 08     ,Published Date: 2008,ISBN: 9782035839077
