20,19.0,Term: Winter 18 | ,Name: CHE        002A            | ,Section: ALL D             | ,"Instructor: TOUPADAKIS, A | ",Course ID:                 | ,Required                 ,CHE 2A SOLUTIONS MANUAL F17            ,Author: TOUPADAKIS    ,Edition: ,Published Date: NA,ISBN: 9780738098708
21,20.0,Term: Winter 18 | ,Name: CHE        002B            | ,Section: ALL A             | ,Instructor: BRYAN ENDERLE | ,Course ID:                 | ,Required                 ,CHE 2B LAB MANUAL W18                  ,Author: CHEMISTRY     ,Edition: ,Published Date: NA,ISBN: 2810050077864
22,21.0,Term: Winter 18 | ,Name: CHE        002B            | ,Section: ALL B             | ,Instructor: OZCAN GULACAR | ,Course ID:                 | ,Required                 ,CHE 2B LAB MANUAL W18                  ,Author: CHEMISTRY     ,Edition: ,Published Date: NA,ISBN: 2810050077864
23,22.0,Term: Winter 18 | ,Name: CHE        002B            | ,Section: ALL C             | ,Instructor: OZCAN GULACAR | ,Course ID:                 | ,Required                 ,CHE 2B LAB MANUAL W18                  ,Author: CHEMISTRY     ,Edition: ,Published Date: NA,ISBN: 2810050077864
24,23.0,Term: Winter 18 | ,Name: CHE        002B            | ,Section: ALL D             | ,Instructor: DONADIO | ,Course ID:                 | ,Required                 ,CHE 2B LAB MANUAL W18                  ,Author: CHEMISTRY     ,Edition: ,Published Date: NA,ISBN: 2810050077864
25,24.0,Term: Winter 18 | ,Name: CHE        002BH           | ,Section: ALL               | ,"Instructor: Larsen, Delmar | ",Course ID:                 | ,Required                 ,CHE 2BH LAB MANUAL W18                 ,Author: CHEMISTRY     ,Edition: ,Published Date: NA,ISBN: 2810050078151
26,25.0,Term: Winter 18 | ,Name: CHE        003B            | ,Section: ALL               | ,"Instructor: Kauzlarich, Susan | ",Course ID:                 | ,Required                 ,ICLICKER/REEF PACKAGE                  ,Author: ICLICKER      ,Edition: ,Published Date: NA,ISBN: 9781319149628
0,,term,coursename,coursesection,Instructor,courseid,book_needed,book_name,book_author,book_edition,book_pubtime,book_ISBN
1,0.0,Term: Winter 18 | ,Name: CHE        008B            | ,Section: ALL A             | ,Instructor: TBD | ,Course ID:                 | ,Required                 ,CHE 8B LAB MANUAL W17                  ,Author: CHEMISTRY     ,Edition: ,Published Date: NA,ISBN: 2810050069999
2,1.0,Term: Winter 18 | ,Name: CHE        008B            | ,Section: ALL A             | ,Instructor: TBD | ,Course ID:                 | ,Optional                 ,ESSENTIAL ORGANIC CHEM.-STD.GDE.+SOLN..,Author: BRUICE        ,Edition: 3RD 16 ,Published Date: 2016,ISBN: 9780133867251
0,,term,coursename,coursesection,Instructor,courseid,book_needed,book_name,book_author,book_edition,book_pubtime,book_ISBN
1,0.0,Term: Winter 18 | ,Name: CHE        008B            | ,Section: ALL A             | ,Instructor: TBD | ,Course ID:                 | ,Required                 ,CHE 8B LAB MANUAL W17                  ,Author: CHEMISTRY     ,Edition: ,Published Date: NA,ISBN: 2810050069999
2,1.0,Term: Winter 18 | ,Name: CHE        008B            | ,Section: ALL A             | ,Instructor: TBD | ,Course ID:                 | ,Optional                 ,ESSENTIAL ORGANIC CHEM.-STD.GDE.+SOLN..,Author: BRUICE        ,Edition: 3RD 16 ,Published Date: 2016,ISBN: 9780133867251
3,2.0,Term: Winter 18 | ,Name: CHE        100             | ,Section: ALL               | ,Instructor: TBD | ,Course ID:                 | ,Required                 ,WATER CHEMISTRY                        ,Author: SNOEYINK      ,Edition: 80     ,Published Date: 1980,ISBN: 9780471051961
4,3.0,Term: Winter 18 | ,Name: CHE        100             | ,Section: ALL               | ,Instructor: TBD | ,Course ID:                 | ,Optional                 ,THERMODYNAMIC VALUES..LOW TEMPERATURE .,Author: WOODS         ,Edition: 86     ,Published Date: 1986,ISBN: 9780195048889
5,4.0,Term: Winter 18 | ,Name: CHE        107A            | ,Section: ALL               | ,Instructor: TBD | ,Course ID:                 | ,Required                 ,PHYSICAL CHEMISTRY FOR BIOSCIENCES     ,Author: CHANG         ,Edition: 05     ,Published Date: 2005,ISBN: 9781891389337
