,term,coursename,coursesection,Instructor,courseid,book_needed,book_name,book_author,book_edition,book_pubtime,book_ISBN
0,Term: Winter 18 | ,Name: FRS        002             | ,Section: 001               | ,"Instructor: Varese, Stefano | ",Course ID: 55650           | ,Required                 ,PRICE OF CIVILIZATION                  ,Author: SACHS         ,Edition: 12     ,Published Date: 2012,ISBN: 9780812980462
1,Term: Winter 18 | ,Name: FRS        002             | ,Section: 006               | ,"Instructor: Sarigul-Klijn, Nesri | ",Course ID: 55655           | ,Required                 ,AEROHYDRONAUTICAL POWER                ,Author: PLATZER       ,Edition: ,Published Date: NA,ISBN: 9781516519743
