,term,coursename,coursesection,Instructor,courseid,book_needed,book_name,book_author,book_edition,book_pubtime,book_ISBN
0,Term: Winter 18 | ,Name: EEC        100             | ,Section: ALL               | ,"Instructor: Rashtian, Hooman | ",Course ID:                 | ,Required                 ,FUNDAMENTALS OF ELECTRIC CIRCUITS      ,Author: ALEXANDER     ,Edition: 6TH 17 ,Published Date: 2017,ISBN: 9780078028229
1,Term: Winter 18 | ,Name: EEC        110A            | ,Section: 001               | ,"Instructor: Rashtian, Hooman | ",Course ID: 52214           | ,Required                 ,FUND.OF MICROELECTRONICS               ,Author: RAZAVI        ,Edition: 2ND 14 ,Published Date: 2014,ISBN: 9781118156322
2,Term: Winter 18 | ,Name: EEC        112             | ,Section: ALL               | ,"Instructor: LEWIS, H | ",Course ID:                 | ,Optional                 ,COMMUNICATION CIRCUITS                 ,Author: CLARKE        ,Edition: 94     ,Published Date: 1994,ISBN: 9780894648632
3,Term: Winter 18 | ,Name: EEC        130A            | ,Section: ALL               | ,"Instructor: KATEHI-TSEREGOUNIS, | ",Course ID:                 | ,Required                 ,FUND.OF APPL.ELECTROMAGNETICS          ,Author: ULABY         ,Edition: 7TH 15 ,Published Date: 2015,ISBN: 9780133356816
