,term,coursename,coursesection,Instructor,courseid,book_needed,book_name,book_author,book_edition,book_pubtime,book_ISBN
0,Term: Winter 18 | ,Name: EVE        002             | ,Section: 001               | ,"Instructor: Lewin, Harris | ",Course ID: 75222           | ,Required                 ,SUSTAINING LIFE                        ,Author: CHIVIAN       ,Edition: 08     ,Published Date: 2008,ISBN: 9780195175097
1,Term: Winter 18 | ,Name: EVE        101             | ,Section: ALL               | ,Instructor: TBD | ,Course ID:                 | ,Required                 ,ECOLOGY   -TEXT                        ,Author: CAIN          ,Edition: 3RD 14 ,Published Date: 2014,ISBN: 9780878939084
2,Term: Winter 18 | ,Name: EVE        101             | ,Section: ALL               | ,Instructor: TBD | ,Course ID:                 | ,Required                 ,ECOLOGY -W/ACCESS                      ,Author: BOWMAN        ,Edition: 4TH 17 ,Published Date: 2017,ISBN: 9781605356181
3,Term: Winter 18 | ,Name: EVE        101             | ,Section: ALL               | ,Instructor: TBD | ,Course ID:                 | ,Required                 ,ICLICKER/REEF PACKAGE                  ,Author: ICLICKER      ,Edition: ,Published Date: NA,ISBN: 9781319149628
4,Term: Winter 18 | ,Name: EVE        112             | ,Section: ALL               | ,"Instructor: SANFORD, E | ",Course ID:                 | ,Required                 ,BIOLOGY OF INVERTEBRATES               ,Author: PECHENIK      ,Edition: 7TH 15 ,Published Date: 2015,ISBN: 9780073524184
