,term,coursename,coursesection,Instructor,courseid,book_needed,book_name,book_author,book_edition,book_pubtime,book_ISBN
0,Term: Winter 18 | ,Name: WFC        130             | ,Section: ALL               | ,"Instructor: FANGUE, N | ",Course ID:                 | ,Required                 ,PRINCIPLES OF ANIMAL PHYSIO.-TEXT      ,Author: MOYES         ,Edition: 3RD 16 ,Published Date: 2016,ISBN: 9780321838179
1,Term: Winter 18 | ,Name: WFC        134L            | ,Section: 001               | ,"Instructor: TODD, B | ",Course ID: 73846           | ,Required                 ,WESTERN REPTILES+AMPHIBIANS            ,Author: PETERSON GDES.,Edition: 3RD 03 ,Published Date: 2003,ISBN: 9780395982723
2,Term: Winter 18 | ,Name: WFC        141             | ,Section: 001               | ,"Instructor: Caro, Timothy | ",Course ID: 74770           | ,Required                 ,INTRO.TO BEHAVIOURAL ECOLOGY           ,Author: DAVIES        ,Edition: 4TH 12 ,Published Date: 2012,ISBN: 9781405114165
3,Term: Winter 18 | ,Name: WFC        144             | ,Section: 001               | ,"Instructor: Bible, Jillian | ",Course ID: 74774           | ,Required                 ,MARINE CONSERVATION BIOLOGY            ,Author: NORSE         ,Edition: 05     ,Published Date: 2005,ISBN: 9781559636629
4,Term: Winter 18 | ,Name: WFC        198             | ,Section: ALL A             | ,"Instructor: Sollmann, Rahel | ",Course ID:                 | ,Required                 ,PRIMER OF ECOLOGICAL STATISTICS        ,Author: GOTELLI       ,Edition: 2ND 13 ,Published Date: 2013,ISBN: 9781605350646
5,Term: Winter 18 | ,Name: WFC        198             | ,Section: ALL B             | ,"Instructor: Post, Eric | ",Course ID:                 | ,Required                 ,ECOLOGY OF CLIMATE CHANGE              ,Author: ERIC POST     ,Edition: ,Published Date: NA,ISBN: 9780691148472
6,Term: Winter 18 | ,Name: WLD        057             | ,Section: ALL               | ,Instructor:  | ,Course ID:                 | ,Required                 ,CUSTOM VALPAK GOSHGARIAN/REINKING      ,Author: REINKING      ,Edition: ,Published Date: NA,ISBN: 9781323457825
7,Term: Winter 18 | ,Name: WLD        057             | ,Section: ALL               | ,Instructor:  | ,Course ID:                 | ,Required                 ,EXPLORING LANGUAGE                     ,Author: GOSHGARIAN    ,Edition: 14TH 15,Published Date: 2015,ISBN: 9780321965257
8,Term: Winter 18 | ,Name: WLD        057             | ,Section: ALL               | ,Instructor:  | ,Course ID:                 | ,Required                 ,STANDALONE CUSTOM STRATEGIES FOR SUCCES,Author: REINKING      ,Edition: ,Published Date: NA,ISBN: 9781323467312
9,Term: Winter 18 | ,Name: WMS        050             | ,Section: ALL               | ,"Instructor: Constable, Elizabeth | ",Course ID: 74058           | ,Required                 ,ARE PRISONS OBSOLETE?                  ,Author: DAVIS         ,Edition: 03     ,Published Date: 2003,ISBN: 9781583225813
10,Term: Winter 18 | ,Name: WMS        050             | ,Section: ALL               | ,"Instructor: Constable, Elizabeth | ",Course ID: 74058           | ,Required                 ,COMPLAINTS+DISORDERS:SEXUAL POLITICS.. ,Author: EHRENREICH    ,Edition: 12     ,Published Date: 2012,ISBN: 9781558616950
11,Term: Winter 18 | ,Name: WMS        050             | ,Section: ALL               | ,"Instructor: Constable, Elizabeth | ",Course ID: 74058           | ,Required                 ,INTRO.TO WOMEN'S STUDIES               ,Author: GREWAL        ,Edition: 2ND 06 ,Published Date: 2006,ISBN: 9780072887181
12,Term: Winter 18 | ,Name: WMS        104             | ,Section: 001               | ,"Instructor: Dane, Penelope | ",Course ID: 74076           | ,Required                 ,FEMINIST RESEARCH PRACTICE             ,Author: HESSE-BIBER   ,Edition: 2ND 14 ,Published Date: 2014,ISBN: 9781412994972
13,Term: Winter 18 | ,Name: WMS        104             | ,Section: 001               | ,"Instructor: Dane, Penelope | ",Course ID: 74076           | ,Required                 ,LEAVERS                                ,Author: KO            ,Edition: 17     ,Published Date: 2017,ISBN: 9781616206888
